2024-09-03 11:04:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-09-03 11:04:12 [main] INFO  c.M.M.MomentumInvestmentsApplication - Starting MomentumInvestmentsApplication using Java 21.0.3 with PID 20316 (C:\Users\User\Downloads\Ronnie\MomentumInvestmentsApplication\MomentumInvestmentsApplication\target\classes started by User in C:\Users\User\Downloads\Ronnie\MomentumInvestmentsApplication\MomentumInvestmentsApplication)
2024-09-03 11:04:12 [main] DEBUG c.M.M.MomentumInvestmentsApplication - Running with Spring Boot v3.3.2, Spring v6.1.11
2024-09-03 11:04:12 [main] INFO  c.M.M.MomentumInvestmentsApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-03 11:04:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-03 11:04:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2024-09-03 11:04:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-09-03 11:04:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-09-03 11:04:16 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-03 11:04:16 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-09-03 11:04:16 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-09-03 11:04:16 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3366 ms
2024-09-03 11:04:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-09-03 11:04:17 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7282af25
2024-09-03 11:04:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-09-03 11:04:17 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/momentum (PostgreSQL 16.3)
2024-09-03 11:04:17 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.056s)
2024-09-03 11:04:17 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1
